run_id,repeat,duration_s,source_kind,source_resolution_deg,report_path,report_sha256,entry_t1_deg,final_t1_deg,change_t1_deg,old_gamma_t1_deg,entry_t2_deg,final_t2_deg,change_t2_deg,old_gamma_t2_deg,entry_n_deg,final_n_deg,change_n_deg,old_gamma_n_deg,entry_total_deg,final_total_deg,reduction_abs_t1_deg,crossed_t1_zero
P6_zero_p000,r01,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\P6_zero_p000\r01\terminal.log,d94ac3c49acff22817bd9a3cfd9603f729365d16db93af7bf110b1418e86898c,0.7,1.64,0.94,-0.943528318262,0.28,1.63,1.35,-1.35210018191,0,-0,-0,-0.0383519130743,0.75,2.32,-0.94,False
P6_zero_p000,r02,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\P6_zero_p000\r02\terminal.log,74b4f17efd615b58900fee05681b01403297fa438d827412192edc7a77089f31,0.68,1.66,0.98,-0.97397862881,0.27,1.58,1.31,-1.31678920945,0,-0,-0,0.0313551344065,0.73,2.29,-0.98,False
P6_zero_p000,r03,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\P6_zero_p000\r03\terminal.log,20b311d61b091901bb4dad4af332088f770f9949431216bbfae84c67076d1210,0.68,1.66,0.98,-0.980055999491,0.28,1.59,1.31,-1.31474190489,-0,-0,0,0.0220200238432,0.73,2.3,-0.98,False
A_rot_t1_15,r01,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\A_rot_t1_15\r01\terminal.log,685aa4b5f76875efeced7aec0ead4515d047bd10db48b59fa31b253330ce990b,9.3,2.01,-7.29,7.30136195157,0.43,2.56,2.13,-2.19996561641,-0,0,0,0.540110610183,9.31,3.26,7.29,False
A_rot_t1_15,r02,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\A_rot_t1_15\r02\terminal.log,8758e53994b8cb8669170db5e2b3b830e379b6f357837bca5448952b83d603b8,9.32,2.05,-7.27,7.27351290434,0.43,2.39,1.96,-1.9908173351,-0,0,0,0.225750979707,9.33,3.15,7.27,False
A_rot_t1_15,r03,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\A_rot_t1_15\r03\terminal.log,6dc6b504c39a6d006803048241f0724c20f4b137d9496a40dd90959a839cc1d9,9.33,2.05,-7.28,7.28847347527,0.45,2.62,2.17,-2.20158743304,-0,0,0,0.222995300649,9.34,3.32,7.28,False
A_rot_t1_50,r01,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\A_rot_t1_50\r01\terminal.log,393a65f461c073ad451c835903bfb8a6fd1dd2dbd95f6792b76ae20be31a1dbe,9.31,6.55,-2.76,2.75987420452,0.49,2.14,1.65,-1.70132557843,-0,-0,0,0.272157601771,9.32,6.89,2.76,False
A_rot_t1_50,r02,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\A_rot_t1_50\r02\terminal.log,df489237a113ea8e75e242e8d5178363d22ffcac002ef8d39cb7a79cb615ac0c,9.31,6.59,-2.72,2.72414747507,0.5,2.18,1.68,-1.7288369376,-0,-0,0,0.269557188505,9.32,6.94,2.72,False
A_rot_t1_50,r03,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\A_rot_t1_50\r03\terminal.log,6aa01e953144a208012510618a4a979240129f200af6656e7a7b3e3a4927c0bd,9.31,6.61,-2.7,2.69908266719,0.52,2.22,1.7,-1.7532290084,0,-0,-0,0.24615124716,9.32,6.98,2.7,False
B_trans_t1_0300,r01,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\B_trans_t1_0300\r01\terminal.log,d6daded09aa3f323977df0355c6769834fffce323ee09304df66d809988f3021,9.26,1.67,-7.59,7.59557057592,0.48,2.22,1.74,-1.76102349705,0,-0,-0,0.0341313528812,9.27,2.78,7.59,False
B_trans_t1_0300,r02,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\B_trans_t1_0300\r02\terminal.log,a24adc83103fc3494a2a83590561bc07f3a0e8ab688e2776198f6e5cd4911391,9.27,1.69,-7.58,7.59448701276,0.5,2.66,2.16,-2.19592559873,0,0,0,0.257740308644,9.28,3.15,7.58,False
B_trans_t1_0300,r03,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\B_trans_t1_0300\r03\terminal.log,e1c568769ccc3af69e2e26106d7796c9531133f9fa553722f475f67396ca79c6,9.27,1.69,-7.58,7.59160323826,0.5,2.62,2.12,-2.15706542896,-0,-0,0,0.260863067612,9.28,3.12,7.58,False
B_trans_t1_0800,r01,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\B_trans_t1_0800\r01\terminal.log,855346c29e0773faab52ac9765d71998fa6f1ef8412fb3b0e4894004949cabef,9.26,1.68,-7.58,7.59014772139,0.49,2.53,2.04,-2.08192059207,0,-0,-0,0.263636658399,9.27,3.04,7.58,False
B_trans_t1_0800,r02,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\B_trans_t1_0800\r02\terminal.log,776929b7105a2834ac20dcec28b6ebd861b78b271b42553af84cb1c5b541adec,9.23,1.69,-7.54,7.54595562054,0.5,2.74,2.24,-2.27832205526,-0,0,0,0.258373684598,9.24,3.22,7.54,False
B_trans_t1_0800,r03,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\B_trans_t1_0800\r03\terminal.log,75c78946c62f3970266c41a98eb97be58d0a0baf6f23a56b2bf0d7bee98d62b5,9.24,1.7,-7.54,7.54956028567,0.54,2.87,2.33,-2.37693616716,-0,0,0,0.278754312741,9.25,3.34,7.54,False
P2_t1_pos_m080,r01,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\P2_t1_pos_m080\r01\terminal.log,60b5b46516655706307122f587b23806f36ef69d966d48fff6dd55433534f5be,9.28,9.36,0.08,-0.0855953733004,0.53,2.23,1.7,-1.66565867209,-0,-0,0,-0.278028989984,9.29,9.62,-0.08,False
P2_t1_pos_m080,r02,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\P2_t1_pos_m080\r02\terminal.log,f9f4e14397b92e02c4ee5dc8e2e617d7b7022fb89f892f607ba03797d560fde8,9.3,9.35,0.05,-0.0459332912439,0.51,2.25,1.74,-1.7024771337,-0,-0,0,-0.296987260776,9.32,9.61,-0.05,False
P2_t1_pos_m080,r03,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\P2_t1_pos_m080\r03\terminal.log,c46741ac73bb2c1df691d9e0c9c6957e74c718cefe7df63d3fc336fecf9c9529,9.3,9.33,0.03,-0.0413472245893,0.51,2.24,1.73,-1.70076078992,0,-0,-0,-0.317165149608,9.31,9.6,-0.03,False
P2_t1_pos_m040,r01,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\P2_t1_pos_m040\r01\terminal.log,10e091f987104b0da3a6b516f14e920d500160b643ee9f575e03e877e6417a8d,9.27,9.12,-0.15,0.147106581036,0.53,2.26,1.73,-1.71613961452,-0,-0,0,-0.173945434054,9.28,9.39,0.15,False
P2_t1_pos_m040,r02,5,terminal_normal_vector_endpoints,0.01,C:\Users\USER\Desktop\Thesis_Final_Control\experiments\results\P2_t1_pos_m040\r02\terminal.log,9201c682ace8e21339a86e43d72506e096da3de531a5ad54adc22bdcfae2f9ea,9.32,9.06,-0.26,0.252397525359,0.41,1.89,1.48,-1.44781472311,0,-0,-0,-0.313881463705,9.33,9.26,0.26,False
