t_contact_s,theta_err_t1_deg,theta_err_t2_deg,total_error_deg,fn_est_N,moment_t1_est_Nm,old_gamma_t1_deg,tool_normal_x,tool_normal_y,tool_normal_z
0,9.298752265,0.532039677,9.313960485,-0.0730351342829,1.05141169877,0,-0.0262609334496,0.134223985057,-0.990602990713
0.001,9.298435292,0.53115779,9.313593693,-0.066798273803,1.05582973241,0.000312350855244,-0.0262456325459,0.134218499853,-0.990604139437
0.002,9.298397822,0.530618187,9.313525526,-0.0554014062428,1.05993931072,0.000347684779961,-0.026236261436,0.134217848787,-0.99060447589
0.003,9.29823942,0.530079555,9.313336709,-0.0431813878202,1.06374862569,0.000507817655293,-0.026226914891,0.134215107752,-0.990605094771
0.004,9.29805789,0.529611529,9.313128846,-0.040147832148,1.06690921499,0.000676957642104,-0.0262187947386,0.134211965716,-0.990605735427
0.005,9.297597351,0.528210162,9.312589462,-0.0570241914628,1.06807531529,0.00113556555321,-0.0261944790955,0.13420399526,-0.990607458543
0.006,9.297074416,0.527231943,9.312011932,-0.0993671226638,1.06625461038,0.00164908638327,-0.0261775171413,0.134194946849,-0.990609132724
0.007,9.296358665,0.525917139,9.311222974,-0.168587987794,1.063240251,0.00235809164893,-0.0261547185049,0.134182563373,-0.990611412405
0.008,9.295415978,0.52483617,9.310220793,-0.257540449485,1.06036320519,0.00329007691226,-0.0261359954622,0.134166254332,-0.990614115557
0.009,9.294443172,0.524347356,9.309221988,-0.355899338324,1.05792732943,0.00424933747437,-0.0261275600836,0.134149428034,-0.990616616841
0.01,9.293308236,0.524626356,9.308104575,-0.45668717643,1.05717486495,0.00536623529917,-0.0261324714419,0.134129800643,-0.990619145038
0.011,9.29209054,0.525193232,9.306920787,-0.564403003102,1.0578375087,0.00656282091101,-0.026142388652,0.134108742127,-0.990621734468
0.012,9.290827866,0.52742004,9.305786067,-0.681559419792,1.05746393021,0.00779502801691,-0.0261811415322,0.134086912699,-0.990623666016
0.013,9.289634131,0.529334354,9.304702959,-0.796952361343,1.05508317623,0.0089567907882,-0.0262144626667,0.134066275341,-0.990625577988
0.014,9.288385072,0.531703565,9.303591023,-0.913660606372,1.05229037135,0.0101715595626,-0.0262556894972,0.134044681608,-0.990627408313
0.015,9.287035096,0.534323569,9.302393378,-1.04484033991,1.05012258065,0.011484210042,-0.0263012784935,0.134021343792,-0.9906293566
0.016,9.285652877,0.537291035,9.301184387,-1.19762020357,1.04893259856,0.0128249813423,-0.0263529043161,0.13399744912,-0.990631216984
0.017,9.284110979,0.540974966,9.299858633,-1.36611948201,1.0492841027,0.0143310139097,-0.0264169850509,0.133970796537,-0.990633115021
0.018,9.282709044,0.544866581,9.298686293,-1.527077887,1.05036399454,0.0156866497533,-0.0264846657013,0.1339465644,-0.990634584682
0.019,9.281162166,0.549303581,9.297403163,-1.65865549377,1.05077515621,0.0171934062178,-0.0265618276038,0.13391982774,-0.990636133529
0.02,9.27985291,0.553135674,9.296323418,-1.75613832096,1.04948944058,0.0184679809325,-0.0266284695645,0.133897197804,-0.990637403407
0.021,9.278533924,0.558430291,9.29532335,-1.8270126788,1.04500520487,0.0197480292739,-0.0267205165117,0.13387440488,-0.990638005386
